N;Hakimi;PrimDijkstra;Lepszy;%
1;0;0;Brak;0%
2;227216;0;PrimDijkstra;100%
3;227210,6667;0;PrimDijkstra;100%
4;454546,6667;0;PrimDijkstra;100%
5;0;0;Brak;0%
6;1817600;0;PrimDijkstra;100%
7;2272040;227200;PrimDijkstra;90%
8;1363226,667;227197,3333;PrimDijkstra;83,33%
9;5427733,333;227205,3333;PrimDijkstra;95,81%
10;230794,6667;224101,3333;PrimDijkstra;2,90%
11;1381098,667;0;PrimDijkstra;100%
12;12400904;316725,3333;PrimDijkstra;97,45%
13;32786221,33;0;Hakimi;?%
14;8741304;563056;Hakimi;1 652,48%
15;36650173,33;570090,6667;Hakimi;6 528,83%
16;6425173,333;538416;Hakimi;1 293,35%
17;763181,3333;450389,3333;PrimDijkstra;40,99%
18;30156130,67;239248;Hakimi;12 704,55%
19;750229,3333;492544;PrimDijkstra;34,35%
20;11659024;8407194,667;PrimDijkstra;172,11%
