N;Hakimi;PrimDijkstra;Lepszy%
1;1,3333;9,3333;Hakimi85,71428571428571%;
2;1;7,6667;Hakimi86,95652173913044%;
3;2;4,6667;Hakimi57,14285714285715%;
4;1;6,3333;Hakimi84,21052631578947%;
5;1,6667;6,3333;Hakimi73,68421052631578%;
6;3;5;Hakimi40,0%;
7;7,3333;8,3333;Hakimi12,000000000000009%;
8;7,3333;10,3333;Hakimi29,032258064516135%;
9;1,6667;9,3333;Hakimi82,14285714285714%;
10;4,3333;8;Hakimi45,833333333333336%;
11;7,6667;7;PrimDisjkstra;8,695652173913047%;
12;5,3333;10,6667;Hakimi50,0%;
13;11,3333;12;Hakimi5,55555555555555%;
14;12,6667;17;Hakimi25,490196078431378%;
15;29,3333;22;PrimDisjkstra;24,999999999999996%;
16;19;29,3333;Hakimi35,22727272727273%;
17;40,6667;41,6667;Hakimi2,4%;
18;90,3333;49,3333;PrimDisjkstra;45,38745387453874%;
19;195;51;PrimDisjkstra;73,84615384615385%;
20;73,3333;92,6667;Hakimi20,863309352517994%;
