N;Hakimi;PrimDijkstra;Lepszy%
1;1,3333;8,3333;Hakimi;84%;
2;0,6667;8,6667;Hakimi;92,31%;
3;1,6667;4,3333;Hakimi;61,54%;
4;1,3333;11,3333;Hakimi;88,24%;
5;2;4,6667;Hakimi;57,14%;
6;2,3333;4,3333;Hakimi;46,15%;
7;4;10,3333;Hakimi;61,29%;
8;4,3333;8,6667;Hakimi;50%;
9;4;9,3333;Hakimi;57,14%;
10;1;13,3333;Hakimi;92,5%;
11;2,6667;11,3333;Hakimi;76,47%;
12;1,3333;14;Hakimi;90,48%;
13;7;15,6667;Hakimi;55,32%;
14;17,3333;23;Hakimi;24,64%;
15;17,6667;26,6667;Hakimi;33,75%;
16;59,6667;24;PrimDisjkstra;59,78%;
17;138,6667;32,6667;PrimDisjkstra;76,44%;
18;55,3333;49;PrimDisjkstra;11,45%;
19;391,3333;55,6667;PrimDisjkstra;85,78%;
20;137;74,3333;PrimDisjkstra;45,74%;
