N;Hakimi;PrimDijkstra;Lepszy;%
1;1;10,6667;Hakimi;90,62%;
2;0,6667;9;Hakimi;92,59%;
3;1,3333;5,3333;Hakimi;75%;
4;2;6;Hakimi;66,67%;
5;4;5,6667;Hakimi;29,41%;
6;3,3333;7,3333;Hakimi;54,55%;
7;7,6667;5,6667;PrimDisjkstra;26,09%;
8;5;9,6667;Hakimi;48,28%;
9;2,3333;9;Hakimi;74,07%;
10;5,3333;11,6667;Hakimi;54,29%;
11;5;10,6667;Hakimi;53,12%;
12;10,3333;11,6667;Hakimi;11,43%;
13;12,6667;16;Hakimi;20,83%;
14;14,6667;25,3333;Hakimi;42,11%;
15;28,6667;22,3333;PrimDisjkstra;22,09%;
16;35,6667;24,3333;PrimDisjkstra;31,78%;
17;76,6667;45,6667;PrimDisjkstra;40,43%;
18;91,3333;49,6667;PrimDisjkstra;45,62%;
19;200,6667;50;PrimDisjkstra;75,08%;
20;259,6667;70;PrimDisjkstra;73,04%;
