N;Hakimi;PrimDijkstra;Lepszy;%
1;227 242,6667;0;PrimDijkstra;100%;
2;227 490,6667;0;PrimDijkstra;100%;
3;454 400;0;PrimDijkstra;100%;
4;454 408;0;PrimDijkstra;100%;
5;454 424;0;PrimDijkstra;100%;
6;454 397,3333;227 197,3333;PrimDijkstra;50%;
7;454 440;454 405,3333;PrimDijkstra;0,01%;
8;1 363 210,6667;227 197,3333;PrimDijkstra;83,33%;
9;-5 199 402,6667;0;Hakimi;?%;
10;-5 122 389,3333;448 053,3333;Hakimi;1 243,25%;
11;2 178 805,3333;0;PrimDijkstra;100%;
12;-34 069 266,6667;0;Hakimi;?%;
13;24 144 648;0;PrimDijkstra;100%;
14;1 010 378,6667;0;PrimDijkstra;100%;
15;39 978 466,6667;633 456;PrimDijkstra;98,42%;
16;2 087 125,3333;0;PrimDijkstra;100%;
17;968 717,3333;520 840;PrimDijkstra;46,23%;
18;8 072 970,6667;510 237,3333;PrimDijkstra;93,68%;
19;-8 060 576;1 238 533,3333;Hakimi;750,82%;
20;-66 032 528;471 354,6667;Hakimi;14 109,1%;
